country,iso3,continent,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,AFG,Asia,0,0,0,0.0
Albania,ALB,Europa,89,132,54,4.9
Algeria,DZA,Africa,25,0,14,0.7
Andorra,AND,Europa,245,138,312,12.4
Angola,AGO,Africa,217,57,45,5.9
Antigua & Barbuda,ATG,América,102,128,45,4.9
Argentina,ARG,América,193,25,221,8.3
Armenia,ARM,Asia,21,179,11,3.8
Australia,AUS,Oceanía,261,72,212,10.4
Austria,AUT,Europa,279,75,191,9.7
Azerbaijan,AZE,Asia,21,46,5,1.3
Bahamas,BHS,America,122,176,51,6.3
Bahrain,BHR,Asia,42,63,7,2.0
Bangladesh,BGD,Asia,0,0,0,0.0
Barbados,BRB,America,143,173,36,6.3
Belarus,BLR,Europa,142,373,42,14.4
Belgium,BEL,Europa,295,84,212,10.5
Belize,BLZ,America,263,114,8,6.8
Benin,BEN,africa,34,4,13,1.1
Bhutan,BTN,Asia,23,0,0,0.4
Bolivia,BOL,America,167,41,8,3.8
Bosnia-Herzegovina,BIH,Europa,76,173,8,4.6
Botswana,BWA,Africa,173,35,35,5.4
Brazil,BRA,America,245,145,16,7.2
Brunei,BRN,ASIA,31,2,1,0.6
Bulgaria,BGR,Europa,231,252,94,10.3
Burkina Faso,BFA,Africa,25,7,7,4.3
Burundi,BDI,Africa,88,0,0,6.3
Cote d'Ivoire,CIV,África,37,1,7,4.0
Cabo Verde,CPV,Africa,144,56,16,4.0
Cambodia,KHM,ASIA,57,65,1,2.2
Cameroon,CMR,Africa,147,1,4,5.8
Canada,CAN,America,240,122,100,8.2
Central African Republic,CAF,Africa,17,2,1,1.8
Chad,TCD,Africa,15,1,1,0.4
Chile,CHL,AMERICA,130,124,172,7.6
China,CHN,Asia,79,192,8,5.0
Colombia,COL,America,159,76,3,4.2
Comoros,COM,Africa,1,3,1,0.1
Congo,COD,Africa,76,1,9,1.7
Cook Islands,COK,OceANia,0,254,74,5.9
Costa Rica,CRI,AMERICA,149,87,11,4.4
Croatia,HRV,Europa,230,87,254,10.2
Cuba,CUB,America,93,137,5,4.2
Cyprus,CYP,Asia,192,154,113,8.2
Czech Republic,CZE,Europa,361,170,134,11.8
North Korea,PRK,Asia,0,0,0,0.0
Denmark,DNK,Europa,224,81,278,10.4
Djibouti,DJI,Africa,15,44,3,1.1
Dominica,DMA,America,52,286,26,6.6
Dominican Republic,DOM,America,193,147,9,6.2
Ecuador,ECU,America,162,74,3,4.2
Egypt,EGY,africa,6,4,1,0.2
El Salvador,SLV,America,52,69,2,2.2
Equatorial Guinea,GNQ,Africa,92,0,233,5.8
Eritrea,ERI,Africa,18,0,0,0.5
Estonia,EST,Europa,224,194,59,9.5
Ethiopia,ETH,Africa,20,3,0,0.7
Fiji,FJI,Oceania,77,35,1,2.0
Finland,FIN,Europa,263,133,97,10.0
France,FRA,Europa,127,151,370,11.8
Gabon,GAB,Africa,347,98,59,8.9
Gambia,GMB,Africa,8,0,1,2.4
